"PLT_CN","LON_PUBLIC","LAT_PUBLIC","STATECD","UNITCD","COUNTYCD","PLOT","PLOT_ID","COUNTYFIPS"
"40416267010690",-106.253495,41.18136,56,2,1,80843,"PID560200180843","56001"
"40416268010690",-106.192744,41.191101,56,2,1,86084,"PID560200186084","56001"
"40416269010690",-106.127412,41.189522,56,2,1,84193,"PID560200184193","56001"
"40416270010690",-106.078347,41.18942,56,2,1,80012,"PID560200180012","56001"
"40416271010690",-105.953005,41.192028,56,2,1,81244,"PID560200181244","56001"
"40416272010690",-105.903317,41.181373,56,2,1,89604,"PID560200189604","56001"
"40416273010690",-105.76931,41.195236,56,2,1,80094,"PID560200180094","56001"
"40416274010690",-105.714235,41.189896,56,2,1,84326,"PID560200184326","56001"
"40416275010690",-105.65835,41.186762,56,2,1,88375,"PID560200188375","56001"
"40416276010690",-105.600749,41.193537,56,2,1,86484,"PID560200186484","56001"
"40416277010690",-105.474683,41.19548,56,2,1,80447,"PID560200180447","56001"
"40416278010690",-105.422598,41.191953,56,2,1,86149,"PID560200186149","56001"
"40416279010690",-105.362388,41.190984,56,2,1,85587,"PID560200185587","56001"
"40416280010690",-105.292159,41.188371,56,2,1,83621,"PID560200183621","56001"
"40416281010690",-106.314892,41.144843,56,2,1,80098,"PID560200180098","56001"
"40416282010690",-106.194481,41.138608,56,2,1,88817,"PID560200188817","56001"
"40416283010690",-106.135198,41.140006,56,2,1,87335,"PID560200187335","56001"
"40416284010690",-106.076304,41.146337,56,2,1,82928,"PID560200182928","56001"
"40416285010690",-105.890569,41.147176,56,2,1,82961,"PID560200182961","56001"
"40416286010690",-105.831056,41.143194,56,2,1,83039,"PID560200183039","56001"
"40416287010690",-105.775709,41.146488,56,2,1,86216,"PID560200186216","56001"
"40416288010690",-105.598143,41.147232,56,2,1,85177,"PID560200185177","56001"
"40416289010690",-105.540843,41.150302,56,2,1,83445,"PID560200183445","56001"
"40416290010690",-105.478819,41.148206,56,2,1,80990,"PID560200180990","56001"
"40416291010690",-105.421662,41.149658,56,2,1,87504,"PID560200187504","56001"
"40416292010690",-105.291943,41.150854,56,2,1,81422,"PID560200181422","56001"
"40416293010690",-106.30476,41.098244,56,2,1,83116,"PID560200183116","56001"
"40416294010690",-106.257163,41.100244,56,2,1,89418,"PID560200189418","56001"
"40416295010690",-106.070367,41.094167,56,2,1,81935,"PID560200181935","56001"
"40416296010690",-106.015708,41.099713,56,2,1,88207,"PID560200188207","56001"
"40416297010690",-105.954046,41.098972,56,2,1,85745,"PID560200185745","56001"
"40416298010690",-105.770528,41.105591,56,2,1,87764,"PID560200187764","56001"
"40416299010690",-105.715353,41.104746,56,2,1,86588,"PID560200186588","56001"
"40416300010690",-105.593735,41.103205,56,2,1,84832,"PID560200184832","56001"
"40416301010690",-105.530134,41.103955,56,2,1,80888,"PID560200180888","56001"
"40416302010690",-105.477558,41.100693,56,2,1,87730,"PID560200187730","56001"
"40416303010690",-105.295553,41.097828,56,2,1,83846,"PID560200183846","56001"
"40416304010690",-106.243571,41.051035,56,2,1,90035,"PID560200190035","56001"
"40416305010690",-106.187635,41.055853,56,2,1,85470,"PID560200185470","56001"
"40416306010690",-106.073661,41.054379,56,2,1,86880,"PID560200186880","56001"
"40416307010690",-106.018842,41.052471,56,2,1,83435,"PID560200183435","56001"
"40416308010690",-105.954863,41.055939,56,2,1,80653,"PID560200180653","56001"
"40416309010690",-105.773782,41.058547,56,2,1,85374,"PID560200185374","56001"
"40416310010690",-105.71178,41.055748,56,2,1,84611,"PID560200184611","56001"
"40416311010690",-105.656839,41.05724,56,2,1,88685,"PID560200188685","56001"
"40416312010690",-105.593586,41.057814,56,2,1,84365,"PID560200184365","56001"
"40416313010690",-105.414941,41.054885,56,2,1,80032,"PID560200180032","56001"
"40416315010690",-105.302341,41.056061,56,2,1,89626,"PID560200189626","56001"
"40416316010690",-106.120521,41.014299,56,2,1,82124,"PID560200182124","56001"
"40416317010690",-106.062278,40.998019,56,2,1,84906,"PID560200184906","56001"
